ID,Input,Output
14,16.76,61.82
14,17,63.215
14,17.04,62.915
14,17.080000000000002,62.21
14,17.42,61.98
14,17.51,61.21
14,17.67,62.36
14,17.75,60.79
14,17.76,60.86
14,17.78,60.81
14,17.85,61.33
14,18.03,60.95
14,18.1,60.82
14,18.51,60.230000000000004
14,18.59,59.89
14,18.64,61.48
14,18.76,60.235
14,18.830000000000002,59.4
14,18.92,59.795
14,18.98,60.78
14,19.03,62.325
14,19.900000000000002,60.17
14,19.97,61.51
15,13.76,65.58000000000001
15,13.91,63.99
15,14.06,63.79
15,14.200000000000001,63.89
15,14.26,64.39
15,14.34,65.63
15,14.38,65.94
15,14.44,65.86
15,14.85,65.44
15,14.99,65.09
15,15.1,63.67
15,15.33,65.05
15,15.42,62.815
15,15.85,63.3
15,16.1,63.13
15,16.12,62.84
15,16.29,62.12
15,16.330000000000002,62.375
15,16.44,61.59
15,16.85,63.06
15,16.98,62.14
15,17.17,61.21
15,17.36,62.61
15,17.45,61.59
15,17.75,62.56
15,17.81,60.95
15,17.96,64.05
15,18.07,63.99
15,18.17,62.52
15,18.31,63.38
15,18.36,63.7
15,18.75,63.935
15,18.81,62.65
15,18.96,62.81
15,19.03,65.47
15,19.09,63.455
15,19.19,63.57
15,19.240000000000002,63.24
15,19.28,62.87
15,19.38,63.685
15,19.75,62.57
15,19.78,63.04
15,19.82,61.16
16,11.84,92.62
16,11.94,93.84
16,12.780000000000001,86.3
16,12.96,82.61
16,13.030000000000001,81.73
16,13.13,79.51
16,13.15,78.38
16,13.18,78.42
16,13.32,77.95
16,13.76,76.11
16,13.780000000000001,75.41
16,14.11,73.52
16,14.32,72.62
16,14.38,72.68
16,14.41,72.23
16,14.8,70.61
16,14.870000000000001,70.97
16,15.120000000000001,70.62
16,15.16,70.1
16,15.26,72.72
16,15.41,71.3
16,16.04,72.29
16,16.18,69.31
16,16.27,69.42
16,16.39,67.91
16,17.06,69.4
16,17.18,70.09
17,11.42,78.99
17,12.33,73.93
17,12.42,72.65
17,12.52,74.26
17,13.3,69.75
17,13.42,68.1
17,13.530000000000001,69.31
17,13.61,71.24
17,13.63,70.64
17,13.82,68.215
17,13.92,72.87
17,14.34,70.3
17,14.42,69.06
17,14.63,71.56
17,14.69,71.8
17,14.74,68.69
17,14.8,68.47
17,14.88,69.83
17,14.92,72.23
17,15.280000000000001,66.92
17,15.3,70.22
17,15.42,70.15
17,15.59,71.53
17,16.42,72.93
17,17.23,73.38
18,10.67,80.26
18,10.69,79.89
18,11.11,78.38
18,11.290000000000001,74.03
18,11.32,75.25
18,11.59,74.74
18,12.11,72.41
18,12.280000000000001,70.24
18,12.38,69.72
18,12.58,70.04
18,12.61,71.3
18,12.63,69.92
18,12.69,72.54
18,13.11,70.44
18,13.15,68.91
18,13.3,66.08
18,13.39,67.095
18,13.530000000000001,68.77
18,13.620000000000001,66.88
18,13.67,68.89
19,11.82,86.89
19,12.05,84.01
19,12.200000000000001,79.08
19,12.280000000000001,78.07
19,12.38,78.08
19,12.39,78.91
19,12.82,80.53
19,12.89,80.59
19,13.030000000000001,84.77
19,13.16,77.84
19,13.290000000000001,81.32
19,13.35,82.29
19,13.370000000000001,78.26
19,13.39,79.81
19,13.43,82.66
19,13.81,81.62
19,13.85,80.22
19,13.91,81.62
19,14.290000000000001,75.75
19,14.41,75.97
19,14.75,77.09
19,14.85,75.96
19,15.14,72.68
19,15.3,75.93
19,15.39,70.27
19,15.4,69.87
19,15.46,71.47
19,15.77,72.3
19,15.790000000000001,73.28
19,15.860000000000001,69.55
19,15.96,72.54
19,16.080000000000002,70.49
19,16.3,71
19,16.32,72.2
19,16.42,71.98
19,16.46,72.42
19,16.77,74.88
19,16.81,73.36
19,16.86,71.69
19,16.96,70.29
19,17.04,70.37
19,17.3,69.18
19,17.32,69.69
19,17.34,69.1
19,17.44,73.47999999999999
19,17.86,71.82
19,18.32,73.405
19,18.82,70.06
20,13.24,72.32
20,13.93,74.9
20,14.08,72.72
20,14.91,72.27
20,15.16,70.28
20,15.370000000000001,69.55
20,16.02,70.62
20,16.15,69.56
20,16.9,68.75
20,16.96,68.3
20,17.13,65.83
20,17.29,65.51
20,17.36,66.92500000000001
20,17.82,67.775
20,18.11,67.03
20,18.38,74.21
21,10.38,82.15
21,10.46,81.78
21,10.65,86.19
21,11.03,77.59
21,11.38,81.04
21,11.44,78.91
21,11.700000000000001,75.51
21,12.01,78.76
21,12.780000000000001,74.28
21,13.33,75.2
21,13.39,74.48
21,13.43,73.03
21,13.68,72.89
21,13.93,71.94
21,14.35,69.79
21,14.64,68.85
21,14.88,69.06
21,14.9,70.225
21,15,70.49
21,15.33,68.39
21,15.370000000000001,68.92
21,15.39,69.95
21,15.41,74.42
21,15.44,69.65
21,15.52,69.23
21,15.71,67.11
21,15.77,67.65
21,15.96,63.91
21,16,67.18
22,16.41,74.84
22,16.87,74.14
22,16.88,71.19
22,17.21,72.48
22,17.27,72.43
22,17.39,73.48
22,17.41,69.07
22,17.42,69.1
22,17.48,68.185
22,17.79,68.91
22,17.92,67.42
22,18.06,69.56
22,18.13,71.335
22,18.25,68.32
22,18.27,70
22,18.31,70.26
22,18.84,69.05
22,18.88,68.53
23,13.43,74.09
23,14.01,72.56
23,14.18,70.85
23,14.27,71.47
23,14.35,70.93
23,15.18,66.46
23,15.370000000000001,69.94
23,15.44,69.3
23,16.12,67.56
23,16.19,69.2
23,16.92,65.52
23,17,68.73
23,17.150000000000002,69.51
23,17.34,69.02
23,17.44,70.31
23,17.92,66.68
23,18.11,70.08
23,18.44,67.61500000000001
23,18.78,65.08
23,18.91,66.56
23,19.22,67.73
23,19.28,66.44
23,19.41,68.7
23,19.76,66.09
23,19.8,66.31
23,19.91,66.68
24,12.030000000000001,66.61
24,12.280000000000001,66.41
24,12.66,66.95
24,13.08,65.22
24,13.27,65.11500000000001
24,13.3,61.94
24,13.72,63.19
24,14.01,64.47
24,14.08,62.62
24,14.25,62.21
24,14.32,60.66
24,14.73,61.81
24,14.75,63.4
24,14.85,63.89
24,14.89,61.614999999999995
24,14.92,64.5
24,14.96,61.355000000000004
24,15.09,60.55
24,15.27,60.42
24,15.3,60.685
24,15.35,59.85
24,15.75,59.56
24,15.780000000000001,60.175
24,15.88,61.95
24,15.96,60.89
24,16.01,60.18
24,16.75,58.58
24,16.84,61.97
24,16.92,62.73
24,17.01,61.83
24,17.69,60.73
24,17.86,63.13
24,19.3,60.62
25,10.09,103.68
25,10.13,103.63
25,10.26,101.58
25,11.13,90.29
25,11.18,89.05
25,11.28,88.33
25,11.32,85.77
25,11.36,92.47
25,11.66,81.84
25,11.76,82.8
25,11.84,81.28
25,11.950000000000001,80.47
25,12.05,78.15
25,12.08,78.57
25,12.22,76.77
25,12.24,75.32
25,12.3,76.55
25,12.35,77.84
25,13.23,68.63499999999999
25,13.25,71.37
25,13.27,70.34
25,13.35,69.9
26,14.370000000000001,70.84
26,14.48,70.45
26,14.68,68.87
26,15.370000000000001,66.15
26,15.540000000000001,65.29
26,15.64,66.43
26,15.790000000000001,64.995
26,15.870000000000001,63.92
26,15.9,66.11
26,15.94,69.36
26,16.01,62.57
26,16.34,64.64
26,16.44,63
26,16.5,65.29
26,16.59,63.6
26,16.69,66.26
26,17.26,67.91
26,17.34,66.275
26,17.38,64.93
26,17.51,64.05
26,17.63,63.93
27,12.780000000000001,85.75
27,12.99,83.6
27,13.11,80.86
27,13.8,77.88
27,13.950000000000001,78.3
27,14.11,75.33
27,14.3,74.98
27,14.39,74.45
27,14.8,71.68
27,14.82,73.52
27,14.97,74.96
27,15.05,75.64
27,15.1,72.37
27,15.14,74.43
27,15.200000000000001,74.22
27,15.370000000000001,77.4
28,10.65,89.99
28,10.92,83.25
28,10.96,84.6
28,11.13,84.52
28,11.21,81.77
28,11.540000000000001,80.76
28,11.63,79.93
28,11.65,77.91
28,11.67,78.02
28,11.82,79.42
28,11.94,76.85
28,11.98,77.12
28,12.17,79.01
28,12.21,75.32
28,12.23,75.29499999999999
28,12.63,74.9
28,12.65,74.96
28,12.82,75.23
28,12.86,72.2
28,12.98,70.95
28,13.13,71.93
28,13.16,74.81
28,13.21,72.21
28,13.65,74.99
28,13.66,73.72
28,13.68,74.07
28,13.82,73.35
28,14.64,72.02
28,14.93,72.63
28,15.85,70.88499999999999
29,13.700000000000001,100.45
29,14.25,87.87
29,14.700000000000001,83.79
29,14.83,85.41
29,14.9,82.18
29,15.030000000000001,80.11
29,15.17,83.5
29,15.700000000000001,80.67
29,15.88,81.69
29,16.67,85.01
29,16.7,81.87
29,16.740000000000002,84.15
29,16.95,81.66
29,17.17,81.75
29,17.330000000000002,79.04
29,18.69,77.8
30,11.15,94.82
30,11.370000000000001,88.9
30,11.43,89.41
30,11.48,84.38
30,11.55,84.87
30,11.58,88.17
30,11.65,88.17
30,11.68,83.88
30,12.44,83.16
30,12.540000000000001,80.14
30,12.56,79.74
30,12.620000000000001,79.53
30,12.65,79.81
30,12.67,80.5
30,12.71,79.31
30,13.07,76.82
30,13.26,73.91
30,13.38,75.63
30,13.48,75.47
30,13.56,73.29
30,13.620000000000001,75.19
30,13.75,72.42
30,13.77,72.81
30,14.09,74.28
30,14.38,72.25
30,14.73,72.76
30,15.07,74.23
30,15.19,73.76
30,15.530000000000001,73.41
30,16.07,72.23
30,16.18,70.87
30,16.41,71.9
30,16.62,70.95
30,16.72,70.8
30,17.07,73.92
30,17.080000000000002,71.94
30,17.18,71.87
30,17.53,67.39
31,11.32,86.9
31,11.44,86.67
31,11.68,84.99
31,12.13,81.58
31,12.32,78.18
31,12.39,77.69
31,12.43,76.89
31,12.47,76.12
31,12.57,76.42
31,12.64,78.58
31,12.68,80.35
31,13.120000000000001,75.62
31,13.18,76.8
31,13.370000000000001,72.63
31,13.43,72.97
31,13.47,74.23
31,13.620000000000001,72.48
31,13.64,72.135
31,13.700000000000001,71.93
31,13.72,72.14
31,14.02,73.28
31,14.48,72.37
31,15.46,69.32
31,15.69,70.9
32,14.620000000000001,64.58
32,14.65,64.87
32,14.67,64.11500000000001
32,14.69,64.66
32,14.73,64.995
32,14.88,65.66
32,14.98,62.96
32,15.06,64.23
32,15.48,62.33
32,15.610000000000001,62.725
32,15.65,63.355
32,15.67,63.629999999999995
32,15.73,63.545
32,15.94,63.715
32,16.04,64.28
32,16.48,60.46
32,16.55,63.17
32,16.65,64.36
32,16.73,63.88
32,16.86,62.87
32,16.9,61.06
32,17.03,62.8
33,10.59,77.525
33,10.700000000000001,77.39
33,10.78,78.25
33,10.85,76.315
33,10.93,77.31
33,11.41,73.5
33,11.61,71.71
33,11.74,70.15
33,11.91,68.16499999999999
33,11.97,68.52
33,12.3,70.44
33,12.35,69.48
33,12.700000000000001,66
33,12.77,66.62
33,12.85,66.485
33,12.96,65.21
33,13.290000000000001,67.19
33,13.41,65.49
33,13.48,64.56
33,13.6,65.76
33,13.620000000000001,67.07
33,13.73,64.21000000000001
33,13.790000000000001,65.12
33,13.93,63.915000000000006
33,14,62.62
33,14.06,63.63
33,14.290000000000001,66.44
33,14.42,65.86
33,14.48,62.14
33,14.59,66.48
34,10.21,98.01
34,11.66,85.24
34,11.89,80.65
34,12.22,79.32
34,12.24,75.84
34,12.870000000000001,75.38
34,13.24,75.56
34,13.66,74.82
34,13.89,71.18
34,14.23,70.13
34,14.25,68.245
34,14.56,69.7
34,14.65,70.46
34,14.73,66.93
34,14.870000000000001,71.45
34,15.06,71.03
34,16.07,73.11
35,10.57,85.74
35,11.16,82.84
35,11.36,77.71
35,11.43,78.26
35,11.51,78.26
35,11.55,75.55
35,11.57,74.68
35,11.68,74.78
35,11.700000000000001,73.45
35,11.74,73.17
35,12.16,73.275
35,12.370000000000001,73.95
35,12.39,73.74
35,12.52,70.89
35,12.55,70.2
35,12.700000000000001,68.5
35,12.72,72.65
35,12.74,74.47
35,12.780000000000001,69.42
35,13.23,70.55
35,13.39,69.15
35,13.540000000000001,69.6
35,14.21,70.35
35,14.25,70.06
36,10.74,96.59
36,11.74,83.15
36,11.950000000000001,83.45
36,12.030000000000001,81.31
36,12.16,78.56
36,12.74,79.74
36,12.97,73.96
36,13.02,73.59
36,13.06,74.04
36,13.16,74.57
36,13.25,75.25
36,13.89,73.85
36,14.73,71.9
36,15.06,72.8
36,15.17,71.62
36,17.19,72.1
36,17.26,73.74
37,11.44,94.7
37,11.63,81.32
37,11.75,82.35
37,11.9,77.68
37,11.92,75.96
37,12.040000000000001,75.3
37,12.09,75.49
37,12.71,76.59
37,12.780000000000001,73.62
37,12.9,73.16
37,12.92,73.5
37,13.01,73.22
37,13.05,73.76
37,13.09,71.22
37,13.51,73.66
37,13.59,72.58
37,13.86,72.89
37,13.870000000000001,71.06
37,14.05,71
37,14.16,72.78
37,14.530000000000001,71.56
37,14.58,71.35
37,14.74,72.42
37,14.870000000000001,71.23
37,15.120000000000001,69.57
37,15.16,70.57
38,12.370000000000001,81.06
38,12.91,78.77
38,13.1,77.84
38,13.14,77.72
38,13.18,76.63
38,13.200000000000001,78.24
38,13.280000000000001,76.25
38,13.31,75.73
38,13.370000000000001,76.18
38,13.75,76.19
38,13.81,75.99
38,13.870000000000001,74.36
38,13.98,75.9
38,14.01,80.67
38,14.33,76.68
38,15,79.25
38,15.75,76.4
38,15.790000000000001,75.03
38,15.88,76.51
38,16.17,76.65
38,16.4,80.94
38,16.8,77.61
39,13.44,73.24
39,13.47,70.52
39,13.55,70.57
39,13.63,71.44
39,13.700000000000001,71.26
39,13.780000000000001,73.46
39,13.86,73.59
39,14.26,65.01
39,14.43,66.7
39,14.530000000000001,66.52000000000001
39,14.57,65.46
39,14.74,66.56
39,14.76,65.515
39,14.86,64.86
39,15.41,70.27
39,15.47,66.93
39,15.55,66.91
39,15.74,69.73
39,15.85,68.24
39,15.870000000000001,72.07
39,18.27,73.46
40,10.59,97.37
40,11.51,91.88
40,11.540000000000001,91.72
40,11.56,90.27
40,11.59,92.62
40,12.55,83.92
40,12.57,83.75
40,13.450000000000001,80.87
40,13.46,79.71
40,13.55,80
40,14.43,80.38
40,14.46,78.95
40,14.47,78.62
40,14.55,75.88
40,14.57,73.51
40,15.46,74.49
40,15.51,71.89
40,15.530000000000001,72.78
40,15.55,70.64
40,15.57,71.36
41,13.88,76.26
41,14.13,73.69
41,14.280000000000001,75.56
41,14.86,73.84
41,15.05,72.73
41,15.21,71.12
41,15.36,71.69
41,15.8,71.6
41,15.88,71.6
41,15.92,72.1
41,15.96,72.02
41,16.07,73.19
41,16.28,70.58
41,16.34,71.71
41,16.36,70.31
41,16.47,71.93
41,16.51,72.31
41,16.82,70.38
41,16.88,71.2
41,16.9,72.12
41,16.97,72.73
41,17.05,71.51
41,17.080000000000002,74.8
41,17.3,73.01
41,17.32,71.72
41,17.490000000000002,74.41
41,17.51,74.35
41,17.85,65.94
41,17.89,66.95
41,17.93,67.31
41,17.95,68.45
41,17.97,67.96
41,18.07,68.36
41,18.18,67.95
41,18.22,70.1
41,18.31,69.5
41,18.490000000000002,72.64
41,18.5,67.78
41,18.87,68.32
41,18.91,70.05
41,18.95,68.82
41,19.14,69.91
41,19.27,71.13
41,19.41,70.46
41,19.48,73.67
41,19.79,70.44
42,10.200000000000001,88.685
42,11.21,75.72
42,11.25,74.74
42,11.41,72.22
42,11.6,71.83
42,12.13,70.4
42,12.21,69.18
42,12.27,69.555
42,12.31,68.57
42,12.4,67.52
42,12.5,68.5
42,12.59,68.375
42,12.63,67.81
42,13.05,68.46
42,13.19,70.56
42,13.4,66.5
42,14.280000000000001,69.38
42,14.950000000000001,72.08
43,11.9,68.11
43,11.92,69.03
43,12.71,67.28
43,12.84,67.72
43,12.9,66.07
43,12.92,67.94
43,13.59,65.09
43,13.69,63.89
43,13.71,65.13
43,13.8,67.63
43,13.83,64.51
43,13.94,65.75999999999999
43,13.98,66.59
43,14.34,65.53
43,14.41,62.82
43,14.49,65.28999999999999
43,14.68,63.39
43,14.790000000000001,65.15
43,14.93,65.00999999999999
43,15.34,64.23
43,15.38,62.17
43,15.51,64.59
43,15.530000000000001,62.71
43,15.66,64.51
43,15.68,62.96
43,15.74,62.97
43,15.93,64.22999999999999
43,16.32,66.33
43,16.35,66.43
43,16.53,65.57
44,10.15,95.86500000000001
44,10.25,89.10499999999999
44,11.28,79.95
44,11.74,79.34
44,11.82,82.97
44,11.97,76.34
44,12.200000000000001,79.74000000000001
44,12.26,76.28999999999999
44,12.3,76.935
44,12.82,72.9
44,12.93,71.87
44,12.97,71.57
44,13.22,72.65
44,13.26,72.3
44,13.280000000000001,71.195
44,13.32,70.51
44,13.66,73.84
44,14.040000000000001,71.64
44,14.1,70.46
44,14.24,72.24
44,14.27,69.47
44,14.31,73.77
44,14.35,70.9
45,10.75,95.52
45,11.42,91.78
45,11.48,90.21
45,11.6,93.67
45,11.77,87.39
45,11.84,87.31
45,12.61,79.75
45,12.67,79.01
45,12.73,75.7
45,12.88,75.06
45,13.38,74.56
45,13.46,76.41
45,13.61,75.76
45,14.3,73.75
45,14.61,72.61
45,14.65,71.77
45,14.780000000000001,68.05
45,14.950000000000001,70.73
45,15.01,71.735
45,15.41,70.025
45,15.450000000000001,68.48
45,15.66,68.78
45,15.92,71.07
45,16.3,73
45,16.41,69.22
45,16.45,69.2
45,16.56,72.82
45,16.62,71.56
45,16.7,70.39
45,16.72,69.64
45,17.31,73.85
45,17.41,69.25999999999999
46,11.28,93.08
46,11.36,89.13
46,11.47,87.73
46,11.99,84.34
46,12.07,87.62
46,12.47,82.75
46,12.92,78.66
46,13.26,75.77
46,13.39,73.57
46,13.43,75.85
46,14.280000000000001,78.93
46,14.39,73.12
46,14.48,75.78
46,14.91,73.75
46,15.02,71.065
46,15.31,73.26
46,15.33,73.72
46,15.46,76.04
46,15.48,72.71
46,15.6,78.19
47,10.53,87.02
47,10.98,94.34
47,11.17,85.52
47,11.36,82.41
47,11.57,88.3
47,12.17,81.69
47,12.21,79.68
47,12.38,81.07
47,13.01,73.93
47,13.05,75.15
47,13.200000000000001,74.43
47,13.36,73.29
47,13.59,69.88
47,14.05,72.35
47,14.22,74.71
47,14.35,69.8
47,14.56,70.36
47,14.58,72.495
47,15.22,72.55
48,12.32,69.13
48,12.41,68.14
48,13.89,62.78
48,13.91,62.7
48,14.16,65.59
48,14.47,61.775
48,14.92,63.78
48,14.950000000000001,60.98
48,15.19,61.59
48,15.39,61.875
48,15.94,57.985
48,15.97,58.230000000000004
48,16.07,61.07
48,16.09,60.105000000000004
48,16.15,59.45
48,16.2,60.06
48,16.27,59.195
48,16.41,59.97
48,16.55,60.77
48,16.9,58.82
48,16.94,59
48,17.11,60.855000000000004
48,17.13,60.36
48,17.2,59.63
48,17.85,57.59
48,17.93,60.125
48,18.05,60.57
48,18.18,61.15
48,18.25,59.16
48,18.38,60.76
49,11.6,95.8
49,11.65,93.44
49,12.19,87.29
49,12.27,89.2
49,12.38,87.39
49,12.42,83.08
49,12.82,82.77
49,12.88,82.06
49,12.92,81.95
49,12.96,82.22
49,13.780000000000001,84.26
49,13.9,77.95
49,13.92,78.66
49,14.82,82.23
49,14.92,77.45
49,14.97,74.25999999999999
49,15.82,84.36
49,15.93,76.85
49,15.99,76.76
49,16.93,77.5
49,16.95,75.53
49,16.990000000000002,72.17
49,17.96,78.34
49,17.98,73.2
49,18.98,71.87
50,10.94,86.13
50,11.07,82.8
50,11.69,79.16
50,11.83,76.19
50,11.98,74.16
50,12.17,74.01
50,12.56,73.85
50,12.88,70.46
50,12.98,68.2
50,13.07,69.56
50,13.11,68.67
50,13.17,70.37
50,13.21,69.64
50,13.25,68.22
50,13.63,69.06
50,13.71,66.84
50,13.82,70.02
50,13.86,67.91
50,13.9,68.49
50,14.15,68.18
50,14.65,67.25
50,14.68,66.06
50,14.72,65.06
50,14.82,68.005
50,14.84,66.44
50,14.93,68.2
50,14.97,66.85
50,15.15,68.69
50,15.24,67.61
51,11.15,96.48
51,11.22,91.37
51,11.92,89.65
51,12.13,82.77
51,12.16,80.12
51,12.33,77.19
51,12.41,78.43
51,12.89,79.94
51,13.030000000000001,81.19
51,13.22,76.37
51,13.370000000000001,78.5
51,13.450000000000001,78.48
51,13.98,71.87
51,14.06,69.48
51,14.42,70.875
51,14.81,68.87
51,15.02,72.42
51,15.1,71.16
51,15.31,73.06
51,15.88,73.33
51,16.12,74.51
52,11.33,95.38
52,11.47,83.32
52,11.64,83.63
52,11.68,79.9
52,11.77,77.2
52,11.83,74.93
52,11.93,74.99
52,12.33,77.61
52,12.46,71.59
52,12.6,70.5
52,12.64,70.435
52,12.71,69.3
52,12.790000000000001,68.7
52,12.85,68.1
52,12.9,68.76
52,12.96,71.84
52,13,70.21
52,13.35,70.17
52,13.48,68.65
52,13.63,67.83
52,13.65,70
52,13.75,68.58000000000001
52,13.81,68.93
52,13.94,67.05
